	lsoa11cd,imd_rank,imd_dec
E01000757,31058,10
E01000758,32014,10
E01000759,27295,9
E01000760,25692,8
E01000761,27991,9
E01000762,28376,9
E01000763,30116,10
E01000764,21942,7
E01000765,28050,9
E01000766,32211,10
E01000767,30743,10
E01000768,26148,8
E01000769,11404,4
E01000770,29445,9
E01000771,30037,10
E01000772,31454,10
E01000773,28902,9
E01000774,25304,8
E01000775,27896,9
E01000777,27406,9
E01000778,20877,7
E01000779,18817,6
E01000780,12270,4
E01000781,5113,2
E01000782,2534,1
E01000783,7328,3
E01000784,24279,8
E01000785,7238,3
E01000786,25123,8
E01000787,12471,4
E01000788,12035,4
E01000789,5332,2
E01000790,20322,7
E01000791,24944,8
E01000792,15361,5
E01000793,30674,10
E01000794,31758,10
E01000795,19648,6
E01000796,7964,3
E01000797,20518,7
E01000798,3678,2
E01000799,14874,5
E01000800,8996,3
E01000801,15958,5
E01000802,14577,5
E01000803,16781,6
E01000804,26655,9
E01000805,12954,4
E01000806,10370,4
E01000807,29408,9
E01000808,28321,9
E01000809,31318,10
E01000810,32559,10
E01000811,30389,10
E01000812,24258,8
E01000813,32063,10
E01000814,31234,10
E01000815,32451,10
E01000816,19874,7
E01000818,20548,7
E01000819,9866,4
E01000820,13461,5
E01000822,20757,7
E01000823,22675,7
E01000824,18531,6
E01000825,16991,6
E01000826,31197,10
E01000827,30326,10
E01000828,24387,8
E01000829,29353,9
E01000830,31714,10
E01000831,26887,9
E01000832,29475,9
E01000833,32354,10
E01000834,30642,10
E01000835,27931,9
E01000836,29957,10
E01000837,24247,8
E01000838,30500,10
E01000839,31198,10
E01000840,24041,8
E01000841,30964,10
E01000842,26391,9
E01000843,20412,7
E01000844,24762,8
E01000845,22982,7
E01000846,12675,4
E01000847,16872,6
E01000848,29434,9
E01000849,27430,9
E01000850,19686,6
E01000851,18953,6
E01000852,19304,6
E01000853,7640,3
E01000854,18104,6
E01000855,19276,6
E01000856,7345,3
E01000857,19069,6
E01000858,4987,2
E01000859,28039,9
E01000860,16393,5
E01000861,6470,2
E01000862,23485,8
E01000863,6114,2
E01000864,16182,5
E01000865,20799,7
E01000866,12432,4
E01000867,8822,3
E01000868,4488,2
E01000869,12664,4
E01000870,9686,3
E01000871,19707,7
E01000872,11176,4
E01000873,26279,9
E01000874,30591,10
E01000875,12887,4
E01000876,8051,3
E01000877,23154,8
E01000878,29860,10
E01000879,29597,10
E01000880,29333,9
E01000881,20586,7
E01000882,31192,10
E01000883,25075,8
E01000884,30248,10
E01000885,28290,9
E01000886,25622,8
E01000887,20985,7
E01000888,19356,6
E01000889,7620,3
E01000890,4006,2
E01000891,4795,2
E01000892,18135,6
E01000893,30202,10
E01000894,28780,9
E01000895,26602,9
E01000896,29763,10
E01000897,30122,10
E01000898,22390,7
E01000899,29501,9
E01000900,10171,4
E01000901,7868,3
E01000902,5453,2
E01000903,15302,5
E01000904,11021,4
E01000905,4848,2
E01000906,23987,8
E01000907,6341,2
E01000908,9462,3
E01000909,22437,7
E01000910,24847,8
E01000911,17027,6
E01000912,12523,4
E01000913,25415,8
E01000914,20943,7
E01000915,12012,4
E01000916,14830,5
E01000917,5902,2
E01000918,13788,5
E01000919,12962,4
E01000920,18902,6
E01000921,18723,6
E01000922,12979,4
E01000923,14943,5
E01000924,20738,7
E01000925,8318,3
E01000926,16623,6
E01000927,18974,6
E01000928,14085,5
E01000929,10528,4
E01000930,7671,3
E01000931,6050,2
E01000932,14310,5
E01000933,10342,4
E01000934,5734,2
E01000935,6954,3
E01000936,13208,5
E01000937,19616,6
E01000938,6387,2
E01000939,4547,2
E01000940,14633,5
E01000941,4860,2
E01000942,18602,6
E01000943,14517,5
E01000944,12258,4
E01000945,8263,3
E01000946,19148,6
E01000947,10959,4
E01000948,8522,3
E01000949,14696,5
E01000950,4347,2
E01000951,6164,2
E01000952,6511,2
E01000953,5146,2
E01000954,5931,2
E01000955,6579,3
E01000956,6420,2
E01000957,9984,4
E01000958,11047,4
E01000959,4567,2
E01000960,17492,6
